模型编号（rhino中对应编号，表单中表头、值均不显示）,构件编号（表单中显示）,构件类别,构件类型,方位,所属部件,材质类别,材质类型,保存状态,病害类型,干预情况,备注
TZ-01-11-01,TZ-01-11-01,柱,一类柱,,,铁,铸铁,,,,
TZ-01-11-02,TZ-01-11-02,柱,一类柱,,,铁,铸铁,,,,
TZ-01-13-01,TZ-01-13-01,柱,一类柱,,,铁,铸铁,,,,
TZ-01-13-02,TZ-01-13-02,柱,一类柱,,,铁,铸铁,,,,
TZ-01-10-01,TZ-01-10-01,柱,一类柱,,,铁,铸铁,,,,
TZ-01-10-02,TZ-01-10-02,柱,一类柱,,,铁,铸铁,,,,
TZ-01-10-03,TZ-01-10-03,柱,一类柱,,,铁,铸铁,,,,
TZ-01-10-04,TZ-01-10-04,柱,一类柱,,,铁,铸铁,,,,
TZ-02-20-01,TZ-02-20-01,柱,二类柱,,,铁,铸铁,,,,
TZ-02-20-02,TZ-02-20-02,柱,二类柱,,,铁,铸铁,,,,
TZ-02-20-03,TZ-02-20-03,柱,二类柱,,,铁,铸铁,,,,
TZ-02-20-04,TZ-02-20-04,柱,二类柱,,,铁,铸铁,,,,
TZ-03-21-01,TZ-03-21-01,柱,三类柱,,,铁,铸铁,,,,
TZ-03-21-02,TZ-03-21-02,柱,三类柱,,,铁,铸铁,,,,
TZ-03-23-01,TZ-03-23-01,柱,三类柱,,,铁,铸铁,,,,
TZ-03-23-02,TZ-03-23-02,柱,三类柱,,,铁,铸铁,,,,
TZ-04-10-01,TZ-04-10-01,柱,四类柱,,,铁,铸铁,,,,
TZ-04-10-02,TZ-04-10-02,柱,四类柱,,,铁,铸铁,,,,
TZ-04-10-03,TZ-04-10-03,柱,四类柱,,,铁,铸铁,,,,
TZ-04-10-04,TZ-04-10-04,柱,四类柱,,,铁,铸铁,,,,
TZ-05-25-01,TZ-05-25-01,柱,五类柱,,,铁,铸铁,,,,
TZ-05-25-02,TZ-05-25-02,柱,五类柱,,,铁,铸铁,,,,
TZ-05-25-03,TZ-05-25-03,柱,五类柱,,,铁,铸铁,,,,
TZ-05-25-04,TZ-05-25-04,柱,五类柱,,,铁,铸铁,,,,
TZ-05-26-01,TZ-05-26-01,柱,五类柱,,,铁,铸铁,,,,
TZ-05-26-02,TZ-05-26-02,柱,五类柱,,,铁,铸铁,,,,
TZ-05-26-03,TZ-05-26-03,柱,五类柱,,,铁,铸铁,,,,
TZ-05-26-04,TZ-05-26-04,柱,五类柱,,,铁,铸铁,,,,
TZ-05-26-05,TZ-05-26-05,柱,五类柱,,,铁,铸铁,,,,
TZ-05-27-01,TZ-05-27-01,柱,五类柱,,,铁,铸铁,,,,
TZ-05-27-02,TZ-05-27-02,柱,五类柱,,,铁,铸铁,,,,
TZ-05-27-03,TZ-05-27-03,柱,五类柱,,,铁,铸铁,,,,
TZ-05-27-04,TZ-05-27-04,柱,五类柱,,,铁,铸铁,,,,
TZ-05-27-05,TZ-05-27-05,柱,五类柱,,,铁,铸铁,,,,
TZ-05-28-01,TZ-05-28-01,柱,五类柱,,,铁,铸铁,,,,
TZ-05-28-02,TZ-05-28-02,柱,五类柱,,,铁,铸铁,,,,
TZ-05-28-03,TZ-05-28-03,柱,五类柱,,,铁,铸铁,,,,
